отчёт анализа bdf-шрифта
шрифт: -xos4-Terminus-Bold-R-Normal--16-160-72-72-C-80-ISO10646-1
глифов: 891
аномалий: 606
предложений замены: 606


описание метрик:
readability  — читаемость глифа, допустимо: 0.400 <= value <= 1.0
proportion   — отношение ширины bitmap к высоте, используется как справочная метрика
density      — доля закрашенных пикселей, допустимо: 0.050 <= value <= 0.850
distinctness — различимость относительно ближайших отличающихся глифов, допустимо: 0.050 <= value <= 1.0


метрики глифов:
glyph                | code  | readability | proportion | density | distinctness
y                    | 121   | 0.851       | 0.500      | 0.305   | 0.031       
z                    | 122   | 0.668       | 0.500      | 0.188   | 0.031       
braceleft            | 123   | 0.649       | 0.500      | 0.172   | 0.031       
bar                  | 124   | 0.582       | 0.500      | 0.156   | 0.016       
braceright           | 125   | 0.649       | 0.500      | 0.172   | 0.055       
asciitilde           | 126   | 0.548       | 0.500      | 0.125   | 0.062       
nbspace              | 160   | 0.000       | 0.500      | 0.000   | 0.031       
exclamdown           | 161   | 0.484       | 0.500      | 0.141   | 0.016       
cent                 | 162   | 0.929       | 0.500      | 0.344   | 0.078       
sterling             | 163   | 0.791       | 0.500      | 0.258   | 0.094       
currency             | 164   | 0.697       | 0.500      | 0.219   | 0.102       
yen                  | 165   | 0.837       | 0.500      | 0.281   | 0.109       
brokenbar            | 166   | 0.367       | 0.500      | 0.125   | 0.031       
section              | 167   | 0.884       | 0.500      | 0.328   | 0.203       
dieresis             | 168   | 0.271       | 0.500      | 0.062   | 0.023       
copyright            | 169   | 0.724       | 0.500      | 0.273   | 0.070       
ordfeminine          | 170   | 0.596       | 0.500      | 0.203   | 0.047       
guillemotleft        | 171   | 0.719       | 0.500      | 0.219   | 0.117       
logicalnot           | 172   | 0.524       | 0.500      | 0.102   | 0.070       
softhyphen           | 173   | 0.408       | 0.500      | 0.039   | 0.016       
registered           | 174   | 0.734       | 0.500      | 0.297   | 0.070       
macron               | 175   | 0.408       | 0.500      | 0.039   | 0.016       
degree               | 176   | 0.522       | 0.500      | 0.109   | 0.062       
plusminus            | 177   | 0.512       | 0.500      | 0.156   | 0.047       
twosuperior          | 178   | 0.550       | 0.500      | 0.125   | 0.070       
threesuperior        | 179   | 0.540       | 0.500      | 0.117   | 0.070       
acute                | 180   | 0.400       | 0.500      | 0.031   | 0.016       
mu                   | 181   | 0.831       | 0.500      | 0.289   | 0.055       
paragraph            | 182   | 0.843       | 0.500      | 0.414   | 0.109       
periodcentered       | 183   | 0.396       | 0.500      | 0.031   | 0.031       
cedilla              | 184   | 0.424       | 0.500      | 0.047   | 0.047       
onesuperior          | 185   | 0.484       | 0.500      | 0.086   | 0.023       
ordmasculine         | 186   | 0.596       | 0.500      | 0.203   | 0.047       
guillemotright       | 187   | 0.719       | 0.500      | 0.219   | 0.156       
onequarter           | 188   | 0.772       | 0.500      | 0.328   | 0.055       
onehalf              | 189   | 0.788       | 0.500      | 0.320   | 0.086       
threequarters        | 190   | 0.786       | 0.500      | 0.336   | 0.055       
questiondown         | 191   | 0.679       | 0.500      | 0.211   | 0.109       
Agrave               | 192   | 0.891       | 0.500      | 0.344   | 0.031       
Aacute               | 193   | 0.891       | 0.500      | 0.344   | 0.031       
Acircumflex          | 194   | 0.857       | 0.500      | 0.367   | 0.023       
Atilde               | 195   | 0.809       | 0.500      | 0.391   | 0.047       
Adieresis            | 196   | 0.841       | 0.500      | 0.375   | 0.023       
Aring                | 197   | 0.879       | 0.500      | 0.391   | 0.023       
AE                   | 198   | 0.883       | 0.500      | 0.383   | 0.039       
Ccedilla             | 199   | 0.894       | 0.500      | 0.312   | 0.016       
Egrave               | 200   | 0.793       | 0.500      | 0.273   | 0.016       
Eacute               | 201   | 0.793       | 0.500      | 0.273   | 0.016       
Ecircumflex          | 202   | 0.798       | 0.500      | 0.297   | 0.023       
Edieresis            | 203   | 0.801       | 0.500      | 0.305   | 0.023       
Igrave               | 204   | 0.632       | 0.500      | 0.203   | 0.016       
Iacute               | 205   | 0.632       | 0.500      | 0.203   | 0.008       
Icircumflex          | 206   | 0.651       | 0.500      | 0.227   | 0.039       
Idieresis            | 207   | 0.671       | 0.500      | 0.234   | 0.047       
Eth                  | 208   | 0.923       | 0.500      | 0.352   | 0.117       
Ntilde               | 209   | 0.792       | 0.500      | 0.406   | 0.078       
Ograve               | 210   | 0.870       | 0.500      | 0.328   | 0.031       
Oacute               | 211   | 0.870       | 0.500      | 0.328   | 0.031       
Ocircumflex          | 212   | 0.875       | 0.500      | 0.352   | 0.023       
Otilde               | 213   | 0.826       | 0.500      | 0.375   | 0.031       
Odieresis            | 214   | 0.858       | 0.500      | 0.359   | 0.023       
multiply             | 215   | 0.637       | 0.500      | 0.172   | 0.086       
Oslash               | 216   | 0.883       | 0.500      | 0.383   | 0.008       
Ugrave               | 217   | 0.929       | 0.500      | 0.352   | 0.031       
Uacute               | 218   | 0.929       | 0.500      | 0.352   | 0.031       
Ucircumflex          | 219   | 0.868       | 0.500      | 0.344   | 0.023       
Udieresis            | 220   | 0.867       | 0.500      | 0.352   | 0.023       
Yacute               | 221   | 0.800       | 0.500      | 0.266   | 0.031       
Thorn                | 222   | 0.821       | 0.500      | 0.281   | 0.102       
germandbls           | 223   | 0.891       | 0.500      | 0.336   | 0.016       
agrave               | 224   | 0.771       | 0.500      | 0.273   | 0.031       
aacute               | 225   | 0.771       | 0.500      | 0.273   | 0.031       
acircumflex          | 226   | 0.777       | 0.500      | 0.297   | 0.023       
atilde               | 227   | 0.786       | 0.500      | 0.320   | 0.047       
adieresis            | 228   | 0.779       | 0.500      | 0.305   | 0.023       
aring                | 229   | 0.871       | 0.500      | 0.320   | 0.023       
ae                   | 230   | 0.789       | 0.500      | 0.273   | 0.047       
ccedilla             | 231   | 0.761       | 0.500      | 0.234   | 0.016       
egrave               | 232   | 0.748       | 0.500      | 0.258   | 0.016       
eacute               | 233   | 0.748       | 0.500      | 0.258   | 0.016       
ecircumflex          | 234   | 0.753       | 0.500      | 0.281   | 0.023       
edieresis            | 235   | 0.755       | 0.500      | 0.289   | 0.023       
igrave               | 236   | 0.557       | 0.500      | 0.164   | 0.016       
iacute               | 237   | 0.557       | 0.500      | 0.164   | 0.016       
