отчёт анализа bdf-шрифта
шрифт: -xos4-Terminus-Bold-R-Normal--16-160-72-72-C-80-ISO10646-1
глифов: 891
аномалий: 606
предложений замены: 606


описание метрик:
readability  — читаемость глифа, допустимо: 0.400 <= value <= 1.0
proportion   — отношение ширины bitmap к высоте, используется как справочная метрика
density      — доля закрашенных пикселей, допустимо: 0.050 <= value <= 0.850
distinctness — различимость относительно ближайших отличающихся глифов, допустимо: 0.050 <= value <= 1.0


метрики глифов:
glyph                | code  | readability | proportion | density | distinctness
ytilde               | 7929  | 0.829       | 0.500      | 0.383   | 0.031       
uni2000              | 8192  | 0.000       | 0.500      | 0.000   | 0.031       
uni2001              | 8193  | 0.000       | 0.500      | 0.000   | 0.031       
enspace              | 8194  | 0.000       | 0.500      | 0.000   | 0.031       
uni2003              | 8195  | 0.000       | 0.500      | 0.000   | 0.031       
uni2004              | 8196  | 0.000       | 0.500      | 0.000   | 0.031       
uni2005              | 8197  | 0.000       | 0.500      | 0.000   | 0.031       
uni2006              | 8198  | 0.000       | 0.500      | 0.000   | 0.031       
uni2007              | 8199  | 0.000       | 0.500      | 0.000   | 0.031       
uni2008              | 8200  | 0.000       | 0.500      | 0.000   | 0.031       
uni2009              | 8201  | 0.000       | 0.500      | 0.000   | 0.031       
uni200A              | 8202  | 0.000       | 0.500      | 0.000   | 0.031       
hyphentwo            | 8208  | 0.408       | 0.500      | 0.039   | 0.016       
uni2011              | 8209  | 0.408       | 0.500      | 0.039   | 0.016       
figuredash           | 8210  | 0.431       | 0.500      | 0.055   | 0.008       
endash               | 8211  | 0.431       | 0.500      | 0.055   | 0.008       
emdash               | 8212  | 0.443       | 0.500      | 0.062   | 0.008       
afii00208            | 8213  | 0.443       | 0.500      | 0.062   | 0.008       
dblverticalbar       | 8214  | 0.655       | 0.500      | 0.312   | 0.047       
underscoredbl        | 8215  | 0.348       | 0.500      | 0.109   | 0.055       
quoteleft            | 8216  | 0.424       | 0.500      | 0.047   | 0.016       
quoteright           | 8217  | 0.424       | 0.500      | 0.047   | 0.016       
quotesinglbase       | 8218  | 0.424       | 0.500      | 0.047   | 0.016       
quotereversed        | 8219  | 0.424       | 0.500      | 0.047   | 0.031       
quotedblleft         | 8220  | 0.328       | 0.500      | 0.094   | 0.062       
quotedblright        | 8221  | 0.328       | 0.500      | 0.094   | 0.062       
quotedblbase         | 8222  | 0.328       | 0.500      | 0.094   | 0.094       
uni201F              | 8223  | 0.328       | 0.500      | 0.094   | 0.062       
dagger               | 8224  | 0.685       | 0.500      | 0.188   | 0.016       
daggerdbl            | 8225  | 0.725       | 0.500      | 0.219   | 0.031       
bullet               | 8226  | 0.496       | 0.500      | 0.094   | 0.039       
ellipsis             | 8230  | 0.262       | 0.500      | 0.094   | 0.031       
perthousand          | 8240  | 0.887       | 0.500      | 0.320   | 0.195       
minute               | 8242  | 0.443       | 0.500      | 0.062   | 0.016       
second               | 8243  | 0.373       | 0.500      | 0.125   | 0.031       
guilsinglleft        | 8249  | 0.545       | 0.500      | 0.109   | 0.078       
guilsinglright       | 8250  | 0.545       | 0.500      | 0.109   | 0.094       
exclamdbl            | 8252  | 0.591       | 0.500      | 0.281   | 0.172       
overline             | 8254  | 0.431       | 0.500      | 0.055   | 0.016       
nsuperior            | 8319  | 0.590       | 0.500      | 0.156   | 0.062       
peseta               | 8359  | 0.923       | 0.500      | 0.352   | 0.094       
Euro                 | 8364  | 0.804       | 0.500      | 0.266   | 0.180       
uni20AE              | 8366  | 0.817       | 0.500      | 0.266   | 0.062       
uni210E              | 8462  | 0.821       | 0.500      | 0.281   | 0.031       
uni210F              | 8463  | 0.877       | 0.500      | 0.312   | 0.055       
afii61352            | 8470  | 0.724       | 0.500      | 0.281   | 0.211       
trademark            | 8482  | 0.581       | 0.500      | 0.141   | 0.133       
Ohm                  | 8486  | 0.891       | 0.500      | 0.336   | 0.031       
arrowleft            | 8592  | 0.617       | 0.500      | 0.156   | 0.062       
arrowup              | 8593  | 0.705       | 0.500      | 0.203   | 0.016       
arrowright           | 8594  | 0.617       | 0.500      | 0.156   | 0.070       
arrowdown            | 8595  | 0.705       | 0.500      | 0.203   | 0.047       
arrowboth            | 8596  | 0.706       | 0.500      | 0.219   | 0.062       
arrowupdn            | 8597  | 0.765       | 0.500      | 0.250   | 0.031       
arrowupdnbse         | 8616  | 0.805       | 0.500      | 0.281   | 0.070       
carriagereturn       | 8629  | 0.781       | 0.500      | 0.250   | 0.156       
arrowdblleft         | 8656  | 0.698       | 0.500      | 0.211   | 0.070       
arrowdblup           | 8657  | 0.851       | 0.500      | 0.305   | 0.086       
arrowdblright        | 8658  | 0.698       | 0.500      | 0.211   | 0.117       
arrowdbldown         | 8659  | 0.851       | 0.500      | 0.305   | 0.086       
arrowdblboth         | 8660  | 0.799       | 0.500      | 0.281   | 0.094       
uni21D5              | 8661  | 0.841       | 0.500      | 0.297   | 0.086       
existential          | 8707  | 0.780       | 0.500      | 0.258   | 0.125       
emptyset             | 8709  | 0.917       | 0.500      | 0.344   | 0.172       
increment            | 8710  | 0.877       | 0.500      | 0.312   | 0.031       
element              | 8712  | 0.740       | 0.500      | 0.227   | 0.109       
uni220A              | 8714  | 0.678       | 0.500      | 0.195   | 0.094       
minus                | 8722  | 0.431       | 0.500      | 0.055   | 0.008       
bulletoperator       | 8729  | 0.454       | 0.500      | 0.070   | 0.039       
radical              | 8730  | 0.812       | 0.500      | 0.266   | 0.156       
infinity             | 8734  | 0.694       | 0.500      | 0.219   | 0.094       
orthogonal           | 8735  | 0.586       | 0.500      | 0.133   | 0.109       
logicaland           | 8743  | 0.679       | 0.500      | 0.188   | 0.125       
logicalor            | 8744  | 0.679       | 0.500      | 0.188   | 0.125       
intersection         | 8745  | 0.769       | 0.500      | 0.258   | 0.062       
union                | 8746  | 0.769       | 0.500      | 0.258   | 0.031       
approxequal          | 8776  | 0.431       | 0.500      | 0.156   | 0.094       
notequal             | 8800  | 0.637       | 0.500      | 0.172   | 0.062       
equivalence          | 8801  | 0.404       | 0.500      | 0.164   | 0.094       
lessequal            | 8804  | 0.530       | 0.500      | 0.156   | 0.125       
greaterequal         | 8805  | 0.530       | 0.500      | 0.156   | 0.125       
uni2300              | 8960  | 0.917       | 0.500      | 0.344   | 0.172       
house                | 8962  | 0.792       | 0.500      | 0.266   | 0.109       
revlogicalnot        | 8976  | 0.524       | 0.500      | 0.102   | 0.047       
integraltp           | 8992  | 0.791       | 0.500      | 0.258   | 0.102       
integralbt           | 8993  | 0.735       | 0.500      | 0.227   | 0.086       
uni23BA              | 9146  | 0.536       | 0.500      | 0.125   | 0.047       
uni23BB              | 9147  | 0.536       | 0.500      | 0.125   | 0.117       
uni23BC              | 9148  | 0.536       | 0.500      | 0.125   | 0.031       
uni23BD              | 9149  | 0.536       | 0.500      | 0.125   | 0.125       
uni2409              | 9225  | 0.801       | 0.500      | 0.328   | 0.094       
uni240A              | 9226  | 0.685       | 0.500      | 0.258   | 0.070       
uni240B              | 9227  | 0.747       | 0.500      | 0.297   | 0.094       
uni240C              | 9228  | 0.699       | 0.500      | 0.281   | 0.070       
uni240D              | 9229  | 0.798       | 0.500      | 0.359   | 0.156       
uni2424              | 9252  | 0.827       | 0.500      | 0.344   | 0.188       
SF100000             | 9472  | 0.536       | 0.500      | 0.125   | 0.039       
uni2501              | 9473  | 0.629       | 0.500      | 0.188   | 0.023       
SF110000             | 9474  | 0.721       | 0.500      | 0.250   | 0.070       
uni2503              | 9475  | 0.843       | 0.500      | 0.375   | 0.055       
uni2508              | 9480  | 0.190       | 0.500      | 0.062   | 0.031       
uni2509              | 9481  | 0.241       | 0.500      | 0.094   | 0.031       
uni250A              | 9482  | 0.375       | 0.500      | 0.188   | 0.094       
uni250B              | 9483  | 0.519       | 0.500      | 0.281   | 0.094       
SF010000             | 9484  | 0.661       | 0.500      | 0.188   | 0.031       
uni250D              | 9485  | 0.719       | 0.500      | 0.227   | 0.039       
uni250E              | 9486  | 0.766       | 0.500      | 0.258   | 0.031       
uni250F              | 9487  | 0.835       | 0.500      | 0.305   | 0.031       
SF030000             | 9488  | 0.661       | 0.500      | 0.188   | 0.031       
uni2511              | 9489  | 0.719       | 0.500      | 0.227   | 0.039       
uni2512              | 9490  | 0.732       | 0.500      | 0.242   | 0.031       
uni2513              | 9491  | 0.790       | 0.500      | 0.281   | 0.039       
SF020000             | 9492  | 0.661       | 0.500      | 0.188   | 0.023       
uni2515              | 9493  | 0.692       | 0.500      | 0.211   | 0.023       
uni2516              | 9494  | 0.766       | 0.500      | 0.258   | 0.023       
uni2517              | 9495  | 0.796       | 0.500      | 0.281   | 0.023       
SF040000             | 9496  | 0.661       | 0.500      | 0.188   | 0.023       
uni2519              | 9497  | 0.692       | 0.500      | 0.211   | 0.023       
uni251A              | 9498  | 0.732       | 0.500      | 0.242   | 0.016       
uni251B              | 9499  | 0.752       | 0.500      | 0.258   | 0.016       
SF080000             | 9500  | 0.857       | 0.500      | 0.297   | 0.023       
uni251D              | 9501  | 0.887       | 0.500      | 0.320   | 0.023       
uni251E              | 9502  | 0.928       | 0.500      | 0.367   | 0.023       
uni251F              | 9503  | 0.928       | 0.500      | 0.367   | 0.031       
uni2520              | 9504  | 0.858       | 0.500      | 0.422   | 0.023       
uni2521              | 9505  | 0.898       | 0.500      | 0.391   | 0.023       
uni2522              | 9506  | 0.888       | 0.500      | 0.398   | 0.031       
uni2523              | 9507  | 0.827       | 0.500      | 0.445   | 0.023       
SF090000             | 9508  | 0.857       | 0.500      | 0.297   | 0.023       
uni2525              | 9509  | 0.887       | 0.500      | 0.320   | 0.023       
uni2526              | 9510  | 0.923       | 0.500      | 0.352   | 0.016       
uni2527              | 9511  | 0.923       | 0.500      | 0.352   | 0.023       
uni2528              | 9512  | 0.853       | 0.500      | 0.406   | 0.016       
uni2529              | 9513  | 0.903       | 0.500      | 0.367   | 0.016       
uni252A              | 9514  | 0.893       | 0.500      | 0.375   | 0.023       
uni252B              | 9515  | 0.833       | 0.500      | 0.422   | 0.016       
SF060000             | 9516  | 0.764       | 0.500      | 0.234   | 0.039       
uni252D              | 9517  | 0.827       | 0.500      | 0.273   | 0.023       
uni252E              | 9518  | 0.827       | 0.500      | 0.273   | 0.023       
uni252F              | 9519  | 0.857       | 0.500      | 0.297   | 0.023       
uni2530              | 9520  | 0.834       | 0.500      | 0.289   | 0.031       
uni2531              | 9521  | 0.897       | 0.500      | 0.328   | 0.023       
uni2532              | 9522  | 0.907       | 0.500      | 0.336   | 0.016       
uni2533              | 9523  | 0.923       | 0.500      | 0.352   | 0.016       
SF070000             | 9524  | 0.764       | 0.500      | 0.234   | 0.023       
uni2535              | 9525  | 0.794       | 0.500      | 0.258   | 0.023       
uni2536              | 9526  | 0.794       | 0.500      | 0.258   | 0.023       
uni2537              | 9527  | 0.824       | 0.500      | 0.281   | 0.023       
uni2538              | 9528  | 0.834       | 0.500      | 0.289   | 0.016       
uni2539              | 9529  | 0.854       | 0.500      | 0.305   | 0.016       
uni253A              | 9530  | 0.864       | 0.500      | 0.312   | 0.016       
uni253B              | 9531  | 0.884       | 0.500      | 0.328   | 0.016       
SF050000             | 9532  | 0.992       | 0.500      | 0.344   | 0.023       
uni253D              | 9533  | 0.978       | 0.500      | 0.367   | 0.023       
uni253E              | 9534  | 0.978       | 0.500      | 0.367   | 0.023       
uni253F              | 9535  | 0.948       | 0.500      | 0.391   | 0.023       
uni2540              | 9536  | 0.938       | 0.500      | 0.398   | 0.016       
uni2541              | 9537  | 0.938       | 0.500      | 0.398   | 0.023       
uni2542              | 9538  | 0.867       | 0.500      | 0.453   | 0.016       
uni2543              | 9539  | 0.918       | 0.500      | 0.414   | 0.016       
uni2544              | 9540  | 0.908       | 0.500      | 0.422   | 0.016       
uni2545              | 9541  | 0.908       | 0.500      | 0.422   | 0.023       
uni2546              | 9542  | 0.908       | 0.500      | 0.422   | 0.023       
uni2547              | 9543  | 0.888       | 0.500      | 0.438   | 0.016       
uni2548              | 9544  | 0.877       | 0.500      | 0.445   | 0.023       
uni2549              | 9545  | 0.847       | 0.500      | 0.469   | 0.016       
uni254A              | 9546  | 0.837       | 0.500      | 0.477   | 0.016       
uni254B              | 9547  | 0.817       | 0.500      | 0.492   | 0.016       
SF430000             | 9552  | 0.559       | 0.500      | 0.250   | 0.094       
SF240000             | 9553  | 0.557       | 0.500      | 0.500   | 0.016       
SF510000             | 9554  | 0.777       | 0.500      | 0.266   | 0.078       
SF520000             | 9555  | 0.870       | 0.500      | 0.328   | 0.016       
SF390000             | 9556  | 0.713       | 0.500      | 0.406   | 0.047       
SF220000             | 9557  | 0.777       | 0.500      | 0.266   | 0.078       
SF210000             | 9558  | 0.836       | 0.500      | 0.312   | 0.031       
SF250000             | 9559  | 0.740       | 0.500      | 0.375   | 0.078       
SF500000             | 9560  | 0.750       | 0.500      | 0.250   | 0.086       
SF490000             | 9561  | 0.870       | 0.500      | 0.328   | 0.016       
SF380000             | 9562  | 0.746       | 0.500      | 0.375   | 0.047       
SF280000             | 9563  | 0.750       | 0.500      | 0.250   | 0.086       
SF270000             | 9564  | 0.836       | 0.500      | 0.312   | 0.031       
SF260000             | 9565  | 0.758       | 0.500      | 0.344   | 0.078       
SF360000             | 9566  | 0.917       | 0.500      | 0.344   | 0.070       
SF370000             | 9567  | 0.577       | 0.500      | 0.531   | 0.031       
SF420000             | 9568  | 0.532       | 0.500      | 0.547   | 0.047       
SF190000             | 9569  | 0.917       | 0.500      | 0.344   | 0.070       
SF200000             | 9570  | 0.567       | 0.500      | 0.516   | 0.016       
SF230000             | 9571  | 0.557       | 0.500      | 0.516   | 0.047       
SF470000             | 9572  | 0.802       | 0.500      | 0.344   | 0.172       
SF480000             | 9573  | 0.904       | 0.500      | 0.344   | 0.016       
SF410000             | 9574  | 0.625       | 0.500      | 0.422   | 0.047       
SF450000             | 9575  | 0.764       | 0.500      | 0.328   | 0.172       
SF460000             | 9576  | 0.904       | 0.500      | 0.344   | 0.016       
SF400000             | 9577  | 0.649       | 0.500      | 0.391   | 0.047       
SF540000             | 9578  | 0.888       | 0.500      | 0.438   | 0.141       
SF530000             | 9579  | 0.727       | 0.500      | 0.562   | 0.031       
SF440000             | 9580  | 0.474       | 0.500      | 0.562   | 0.047       
uni256D              | 9581  | 0.641       | 0.500      | 0.172   | 0.031       
uni256E              | 9582  | 0.641       | 0.500      | 0.172   | 0.031       
uni256F              | 9583  | 0.641       | 0.500      | 0.172   | 0.031       
uni2570              | 9584  | 0.641       | 0.500      | 0.172   | 0.031       
uni2574              | 9588  | 0.466       | 0.500      | 0.078   | 0.039       
uni2575              | 9589  | 0.559       | 0.500      | 0.141   | 0.062       
uni2576              | 9590  | 0.466       | 0.500      | 0.078   | 0.039       
uni2577              | 9591  | 0.559       | 0.500      | 0.141   | 0.070       
uni2578              | 9592  | 0.524       | 0.500      | 0.117   | 0.039       
uni2579              | 9593  | 0.663       | 0.500      | 0.211   | 0.031       
uni257A              | 9594  | 0.524       | 0.500      | 0.117   | 0.039       
uni257B              | 9595  | 0.663       | 0.500      | 0.211   | 0.031       
uni257C              | 9596  | 0.598       | 0.500      | 0.164   | 0.023       
uni257D              | 9597  | 0.837       | 0.500      | 0.320   | 0.055       
uni257E              | 9598  | 0.598       | 0.500      | 0.164   | 0.023       
uni257F              | 9599  | 0.837       | 0.500      | 0.320   | 0.055       
upblock              | 9600  | 0.707       | 0.500      | 0.500   | 0.336       
uni2581              | 9601  | 0.536       | 0.500      | 0.125   | 0.125       
uni2582              | 9602  | 0.721       | 0.500      | 0.250   | 0.250       
uni2583              | 9603  | 0.843       | 0.500      | 0.375   | 0.312       
dnblock              | 9604  | 0.707       | 0.500      | 0.500   | 0.328       
uni2585              | 9605  | 0.571       | 0.500      | 0.625   | 0.344       
uni2586              | 9606  | 0.500       | 0.500      | 0.750   | 0.375       
uni2587              | 9607  | 0.525       | 0.500      | 0.875   | 0.219       
block                | 9608  | 0.550       | 0.500      | 1.000   | 0.094       
uni2589              | 9609  | 0.525       | 0.500      | 0.875   | 0.219       
uni258A              | 9610  | 0.500       | 0.500      | 0.750   | 0.375       
uni258B              | 9611  | 0.571       | 0.500      | 0.625   | 0.359       
lfblock              | 9612  | 0.707       | 0.500      | 0.500   | 0.328       
uni258D              | 9613  | 0.843       | 0.500      | 0.375   | 0.273       
uni258E              | 9614  | 0.721       | 0.500      | 0.250   | 0.180       
uni258F              | 9615  | 0.536       | 0.500      | 0.125   | 0.141       
rtblock              | 9616  | 0.707       | 0.500      | 0.500   | 0.430       
ltshade              | 9617  | 0.507       | 0.500      | 0.250   | 0.344       
shade                | 9618  | 0.807       | 0.500      | 0.500   | 0.492       
dkshade              | 9619  | 0.550       | 0.500      | 0.750   | 0.328       
uni2596              | 9622  | 0.721       | 0.500      | 0.250   | 0.211       
uni2597              | 9623  | 0.721       | 0.500      | 0.250   | 0.234       
uni2598              | 9624  | 0.721       | 0.500      | 0.250   | 0.195       
uni2599              | 9625  | 0.550       | 0.500      | 0.750   | 0.328       
uni259A              | 9626  | 0.807       | 0.500      | 0.500   | 0.430       
uni259B              | 9627  | 0.550       | 0.500      | 0.750   | 0.328       
uni259C              | 9628  | 0.550       | 0.500      | 0.750   | 0.328       
uni259D              | 9629  | 0.721       | 0.500      | 0.250   | 0.219       
uni259E              | 9630  | 0.807       | 0.500      | 0.500   | 0.414       
uni259F              | 9631  | 0.550       | 0.500      | 0.750   | 0.328       
filledbox            | 9632  | 0.698       | 0.500      | 0.234   | 0.047       
filledrect           | 9644  | 0.675       | 0.500      | 0.219   | 0.125       
uni25AE              | 9646  | 0.656       | 0.500      | 0.547   | 0.141       
triagup              | 9650  | 0.852       | 0.500      | 0.312   | 0.125       
uni25B6              | 9654  | 0.852       | 0.500      | 0.312   | 0.133       
triagdn              | 9660  | 0.852       | 0.500      | 0.312   | 0.125       
uni25C0              | 9664  | 0.852       | 0.500      | 0.312   | 0.156       
blackdiamond         | 9670  | 0.759       | 0.500      | 0.250   | 0.062       
lozenge              | 9674  | 0.679       | 0.500      | 0.188   | 0.062       
circle               | 9675  | 0.607       | 0.500      | 0.156   | 0.094       
H18533               | 9679  | 0.728       | 0.500      | 0.250   | 0.047       
invbullet            | 9688  | 0.550       | 0.500      | 0.906   | 0.094       
invcircle            | 9689  | 0.511       | 0.500      | 0.844   | 0.250       
smileface            | 9786  | 0.759       | 0.500      | 0.281   | 0.203       
invsmileface         | 9787  | 0.692       | 0.500      | 0.531   | 0.141       
sun                  | 9788  | 0.884       | 0.500      | 0.328   | 0.141       
female               | 9792  | 0.805       | 0.500      | 0.281   | 0.148       
male                 | 9794  | 0.841       | 0.500      | 0.297   | 0.141       
spade                | 9824  | 0.917       | 0.500      | 0.344   | 0.109       
club                 | 9827  | 0.897       | 0.500      | 0.328   | 0.109       
heart                | 9829  | 0.868       | 0.500      | 0.375   | 0.094       
diamond              | 9830  | 0.759       | 0.500      | 0.250   | 0.062       
musicalnote          | 9834  | 0.806       | 0.500      | 0.258   | 0.133       
musicalnotedbl       | 9835  | 0.885       | 0.500      | 0.391   | 0.133       
uni2713              | 10003 | 0.756       | 0.500      | 0.219   | 0.055       
uni2714              | 10004 | 0.827       | 0.500      | 0.273   | 0.055       
uni2717              | 10007 | 0.761       | 0.500      | 0.234   | 0.109       
uni2718              | 10008 | 0.917       | 0.500      | 0.344   | 0.109       
uniE0A0              | 57504 | 0.938       | 0.500      | 0.398   | 0.305       
uniE0A1              | 57505 | 0.827       | 0.500      | 0.344   | 0.117       
uniE0A2              | 57506 | 0.649       | 0.500      | 0.594   | 0.344       
uniE0B0              | 57520 | 0.727       | 0.500      | 0.562   | 0.367       
uniE0B1              | 57521 | 0.851       | 0.500      | 0.234   | 0.312       
uniE0B2              | 57522 | 0.727       | 0.500      | 0.562   | 0.391       
uniE0B3              | 57523 | 0.851       | 0.500      | 0.234   | 0.297       
uniF6BE              | 63166 | 0.715       | 0.500      | 0.211   | 0.031       
uniFFFD              | 65533 | 0.897       | 0.500      | 0.359   | 0.023       


аномалии:
glyph                | code  | нарушенные критерии                                                            
--------------------------------------------------------------------------------------------------------------
space                | 32    | readability: 0.000 < 0.400; density: 0.000 < 0.050; distinctness: 0.031 < 0.050
exclam               | 33    | distinctness: 0.016 < 0.050                                                    
quotedbl             | 34    | readability: 0.324 < 0.400; distinctness: 0.031 < 0.050                        
numbersign           | 35    | distinctness: 0.047 < 0.050                                                    
quotesingle          | 39    | density: 0.047 < 0.050; distinctness: 0.016 < 0.050                            
plus                 | 43    | distinctness: 0.047 < 0.050                                                    
comma                | 44    | density: 0.047 < 0.050; distinctness: 0.016 < 0.050                            
hyphen               | 45    | distinctness: 0.008 < 0.050                                                    
period               | 46    | readability: 0.396 < 0.400; density: 0.031 < 0.050; distinctness: 0.016 < 0.050
zero                 | 48    | distinctness: 0.008 < 0.050                                                    
one                  | 49    | distinctness: 0.047 < 0.050                                                    
three                | 51    | distinctness: 0.031 < 0.050                                                    
eight                | 56    | distinctness: 0.016 < 0.050                                                    
colon                | 58    | readability: 0.277 < 0.400; distinctness: 0.016 < 0.050                        
semicolon            | 59    | readability: 0.348 < 0.400; distinctness: 0.016 < 0.050                        
equal                | 61    | readability: 0.359 < 0.400                                                     
A                    | 65    | distinctness: 0.031 < 0.050                                                    
B                    | 66    | distinctness: 0.023 < 0.050                                                    
C                    | 67    | distinctness: 0.031 < 0.050                                                    
E                    | 69    | distinctness: 0.031 < 0.050                                                    
F                    | 70    | distinctness: 0.023 < 0.050                                                    
G                    | 71    | distinctness: 0.047 < 0.050                                                    
H                    | 72    | distinctness: 0.039 < 0.050                                                    
I                    | 73    | distinctness: 0.008 < 0.050                                                    
K                    | 75    | distinctness: 0.031 < 0.050                                                    
L                    | 76    | distinctness: 0.031 < 0.050                                                    
N                    | 78    | distinctness: 0.031 < 0.050                                                    
O                    | 79    | distinctness: 0.016 < 0.050                                                    
Q                    | 81    | distinctness: 0.031 < 0.050                                                    
S                    | 83    | distinctness: 0.047 < 0.050                                                    
T                    | 84    | distinctness: 0.031 < 0.050                                                    
U                    | 85    | distinctness: 0.031 < 0.050                                                    
Y                    | 89    | distinctness: 0.031 < 0.050                                                    
bracketleft          | 91    | distinctness: 0.031 < 0.050                                                    
asciicircum          | 94    | distinctness: 0.047 < 0.050                                                    
grave                | 96    | readability: 0.400 < 0.400; density: 0.031 < 0.050; distinctness: 0.016 < 0.050
a                    | 97    | distinctness: 0.031 < 0.050                                                    
b                    | 98    | distinctness: 0.031 < 0.050                                                    
c                    | 99    | distinctness: 0.023 < 0.050                                                    
d                    | 100   | distinctness: 0.023 < 0.050                                                    
e                    | 101   | distinctness: 0.031 < 0.050                                                    
f                    | 102   | distinctness: 0.031 < 0.050                                                    
g                    | 103   | distinctness: 0.031 < 0.050                                                    
h                    | 104   | distinctness: 0.031 < 0.050                                                    
i                    | 105   | distinctness: 0.016 < 0.050                                                    
j                    | 106   | distinctness: 0.031 < 0.050                                                    
k                    | 107   | distinctness: 0.039 < 0.050                                                    
l                    | 108   | distinctness: 0.008 < 0.050                                                    
m                    | 109   | distinctness: 0.047 < 0.050                                                    
n                    | 110   | distinctness: 0.008 < 0.050                                                    
o                    | 111   | distinctness: 0.023 < 0.050                                                    
p                    | 112   | distinctness: 0.008 < 0.050                                                    
q                    | 113   | distinctness: 0.039 < 0.050                                                    
r                    | 114   | distinctness: 0.031 < 0.050                                                    
s                    | 115   | distinctness: 0.031 < 0.050                                                    
t                    | 116   | distinctness: 0.016 < 0.050                                                    
u                    | 117   | distinctness: 0.008 < 0.050                                                    
w                    | 119   | distinctness: 0.039 < 0.050                                                    
x                    | 120   | distinctness: 0.039 < 0.050                                                    
y                    | 121   | distinctness: 0.031 < 0.050                                                    
z                    | 122   | distinctness: 0.031 < 0.050                                                    
braceleft            | 123   | distinctness: 0.031 < 0.050                                                    
bar                  | 124   | distinctness: 0.016 < 0.050                                                    
nbspace              | 160   | readability: 0.000 < 0.400; density: 0.000 < 0.050; distinctness: 0.031 < 0.050
exclamdown           | 161   | distinctness: 0.016 < 0.050                                                    
brokenbar            | 166   | readability: 0.367 < 0.400; distinctness: 0.031 < 0.050                        
dieresis             | 168   | readability: 0.271 < 0.400; distinctness: 0.023 < 0.050                        
ordfeminine          | 170   | distinctness: 0.047 < 0.050                                                    
softhyphen           | 173   | density: 0.039 < 0.050; distinctness: 0.016 < 0.050                            
macron               | 175   | density: 0.039 < 0.050; distinctness: 0.016 < 0.050                            
plusminus            | 177   | distinctness: 0.047 < 0.050                                                    
acute                | 180   | readability: 0.400 < 0.400; density: 0.031 < 0.050; distinctness: 0.016 < 0.050
periodcentered       | 183   | readability: 0.396 < 0.400; density: 0.031 < 0.050; distinctness: 0.031 < 0.050
cedilla              | 184   | density: 0.047 < 0.050; distinctness: 0.047 < 0.050                            
onesuperior          | 185   | distinctness: 0.023 < 0.050                                                    
ordmasculine         | 186   | distinctness: 0.047 < 0.050                                                    
Agrave               | 192   | distinctness: 0.031 < 0.050                                                    
Aacute               | 193   | distinctness: 0.031 < 0.050                                                    
Acircumflex          | 194   | distinctness: 0.023 < 0.050                                                    
Atilde               | 195   | distinctness: 0.047 < 0.050                                                    
Adieresis            | 196   | distinctness: 0.023 < 0.050                                                    
Aring                | 197   | distinctness: 0.023 < 0.050                                                    
AE                   | 198   | distinctness: 0.039 < 0.050                                                    
Ccedilla             | 199   | distinctness: 0.016 < 0.050                                                    
Egrave               | 200   | distinctness: 0.016 < 0.050                                                    
Eacute               | 201   | distinctness: 0.016 < 0.050                                                    
Ecircumflex          | 202   | distinctness: 0.023 < 0.050                                                    
Edieresis            | 203   | distinctness: 0.023 < 0.050                                                    
Igrave               | 204   | distinctness: 0.016 < 0.050                                                    
Iacute               | 205   | distinctness: 0.008 < 0.050                                                    
Icircumflex          | 206   | distinctness: 0.039 < 0.050                                                    
Idieresis            | 207   | distinctness: 0.047 < 0.050                                                    
Ograve               | 210   | distinctness: 0.031 < 0.050                                                    
Oacute               | 211   | distinctness: 0.031 < 0.050                                                    
Ocircumflex          | 212   | distinctness: 0.023 < 0.050                                                    
Otilde               | 213   | distinctness: 0.031 < 0.050                                                    
Odieresis            | 214   | distinctness: 0.023 < 0.050                                                    
Oslash               | 216   | distinctness: 0.008 < 0.050                                                    
Ugrave               | 217   | distinctness: 0.031 < 0.050                                                    
Uacute               | 218   | distinctness: 0.031 < 0.050                                                    
Ucircumflex          | 219   | distinctness: 0.023 < 0.050                                                    
Udieresis            | 220   | distinctness: 0.023 < 0.050                                                    
Yacute               | 221   | distinctness: 0.031 < 0.050                                                    
germandbls           | 223   | distinctness: 0.016 < 0.050                                                    
agrave               | 224   | distinctness: 0.031 < 0.050                                                    
aacute               | 225   | distinctness: 0.031 < 0.050                                                    
acircumflex          | 226   | distinctness: 0.023 < 0.050                                                    
atilde               | 227   | distinctness: 0.047 < 0.050                                                    
adieresis            | 228   | distinctness: 0.023 < 0.050                                                    
aring                | 229   | distinctness: 0.023 < 0.050                                                    
ae                   | 230   | distinctness: 0.047 < 0.050                                                    
ccedilla             | 231   | distinctness: 0.016 < 0.050                                                    
egrave               | 232   | distinctness: 0.016 < 0.050                                                    
eacute               | 233   | distinctness: 0.016 < 0.050                                                    
ecircumflex          | 234   | distinctness: 0.023 < 0.050                                                    
edieresis            | 235   | distinctness: 0.023 < 0.050                                                    
igrave               | 236   | distinctness: 0.016 < 0.050                                                    
iacute               | 237   | distinctness: 0.016 < 0.050                                                    
icircumflex          | 238   | distinctness: 0.023 < 0.050                                                    
idieresis            | 239   | distinctness: 0.023 < 0.050                                                    
eth                  | 240   | distinctness: 0.031 < 0.050                                                    
ntilde               | 241   | distinctness: 0.047 < 0.050                                                    
